zip_code,city,county,bottles_sold,sales_dollars,margin,median_household_income,population
50002,ADAIR,Adair,498.0,4958.04,1663.48,45202.0,7682.0
50003,ADEL,Dallas,2918.0,38095.16,12734.43,67037.0,66135.0
50006,ALDEN,Hardin,640.0,10086.97,3369.97,44694.0,17534.0
50009,ALTOONA,Polk,17953.0,241028.59,80566.24,56094.0,430640.0
50010,AMES,Story,53617.0,772044.25,258178.25,48248.0,89542.0
50014,AMES,Story,3083.0,40206.1,13423.74,48248.0,89542.0
50020,ANITA,Cass,704.0,8716.27,2907.57,40820.0,13956.0
50021,ANKENY,Polk,26546.0,417794.83,140000.28,56094.0,430640.0
50022,ATLANTIC,Cass,6849.0,93176.8,31164.05,40820.0,13956.0
50023,ANKENY,Polk,12093.0,179657.93,60094.78,56094.0,430640.0
50025,AUDUBON,Audubon,1153.0,13559.58,4555.93,42717.0,6119.0
50028,BAXTER,Jasper,171.0,2189.34,731.48,46396.0,36842.0
50033,BEVINGTON,Madison,458.0,4582.04,1529.42,53183.0,15679.0
50035,BONDURANT,Polk,831.0,9664.23,3226.09,56094.0,430640.0
50036,BOONE,Boone,10573.0,141982.36,47756.71,49578.0,26306.0
50044,BUSSEY,Marion,384.0,1826.94,610.02,53370.0,33309.0
50046,CAMBRIDGE,Polk,121.0,1425.39,478.32,56094.0,430640.0
50047,CARLISLE,Warren,2140.0,25870.38,8920.7,62034.0,46225.0
50048,CASEY,Guthrie,420.0,4060.65,1354.17,50090.0,10954.0
50049,CHARITON,Lucas,2832.0,36768.2,12295.25,43005.0,8898.0
50054,COLFAX,Jasper,1177.0,12749.19,4264.17,46396.0,36842.0
50056,COLO,Story,300.0,3042.18,1014.42,48248.0,89542.0
50058,COON RAPIDS,Carroll,665.0,7828.1,2621.76,47507.0,20816.0
50060,CORYDON,Wayne,666.0,8603.63,2878.96,35425.0,6403.0
50061,Cumming,Warren,228.0,2217.48,739.8,62034.0,46225.0
50069,DE SOTO,Dallas,765.0,8153.96,2732.88,67037.0,66135.0
50071,DOWS,Wright,174.0,1821.3,610.02,44035.0,13229.0
50072,EARLHAM,Madison,261.0,2854.65,953.43,53183.0,15679.0
50075,ELLSWORTH,Hamilton,519.0,6228.02,2102.45,46188.0,15673.0
50076,EXIRA,Audubon,276.0,2869.68,960.06,42717.0,6119.0
50107,GRAND JUNCTION,Greene,292.0,2893.69,975.64,43286.0,9336.0
50109,GRANGER,Dallas,404.0,3770.35,1257.53,67037.0,66135.0
50111,GRIMES,Polk,8050.0,112407.2,37618.04,56094.0,430640.0
50112,GRINNELL,Poweshiek,7300.0,98587.54,32950.54,50998.0,18914.0
50115,GUTHRIE CENTER,Guthrie,678.0,7656.23,2560.42,50090.0,10954.0
50122,HUBBARD,Hardin,304.0,3876.58,1302.65,44694.0,17534.0
50123,HUMESTON,Wayne,306.0,2418.45,809.79,35425.0,6403.0
50124,HUXLEY,Story,717.0,9910.44,3314.36,48248.0,89542.0
50125,INDIANOLA,Warren,12687.0,155639.26,52271.6,62034.0,46225.0
50126,IOWA FALLS,Hardin,5873.0,86735.54,29002.31,44694.0,17534.0
50129,JEFFERSON,Greene,4051.0,58235.19,19685.4,43286.0,9336.0
50129,MARION,Linn,1275.0,13817.52,4623.28,53674.0,211226.0
50130,JEWELL,Hamilton,375.0,3763.24,1262.93,46188.0,15673.0
50131,JOHNSTON,Polk,10110.0,142980.64,47873.41,56094.0,430640.0
50135,KELLOGG,Jasper,325.0,2751.57,917.75,46396.0,36842.0
50136,KELLOG,Jasper,157.0,1472.67,491.14,46396.0,36842.0
50138,KNOXVILLE,Marion,6647.0,79306.6,26497.36,53370.0,33309.0
50140,LAMONI,Decatur,666.0,6878.97,2304.89,37138.0,8457.0
50142,LE GRAND,Marshall,561.0,6812.21,2278.73,45232.0,40648.0
50144,LEON,Decatur,758.0,8550.49,2859.8,37138.0,8457.0
50150,LOVILIA,Monroe,92.0,812.44,271.0,43245.0,7970.0
50156,MADRID,Boone,761.0,8566.47,2860.0,49578.0,26306.0
50158,MARSHALLTOWN,Marshall,20058.0,268486.95,89703.7,45232.0,40648.0
50160,MARTENSDALE,Warren,198.0,2233.98,745.02,62034.0,46225.0
50161,MAXWELL,Story,234.0,2594.4,878.52,48248.0,89542.0
50162,MELBOURNE,Marshall,62.0,890.1,296.74,45232.0,40648.0
50163,MELCHER-DALLAS,Marion,1015.0,13171.39,4394.53,53370.0,33309.0
50170,MONROE,Jasper,687.0,7218.66,2410.83,46396.0,36842.0
50171,MONTEZUMA,Poweshiek,1633.0,24135.73,8060.47,50998.0,18914.0
50201,NEVADA,Story,3594.0,38595.36,12899.51,48248.0,89542.0
50207,NEW SHARON,Mahaska,129.0,1656.08,552.21,45025.0,22381.0
50208,NEWTON,Jasper,10924.0,138972.17,46486.79,46396.0,36842.0
50210,NEW VIRGINIA,Warren,261.0,3041.03,1020.17,62034.0,46225.0
50211,NORWALK,Warren,4444.0,59553.66,19915.44,62034.0,46225.0
50212,OGDEN,Boone,682.0,7663.06,2562.38,49578.0,26306.0
50213,OSCEOLA,Clarke,4631.0,67068.36,22420.55,45596.0,9286.0
50216,PANORA,Guthrie,1579.0,19479.36,6513.89,50090.0,10954.0
50219,PELLA,Marion,6533.0,95412.93,31985.76,53370.0,33309.0
50220,PERRY,Boone,2228.0,27398.13,9156.83,49578.0,26306.0
50220,PERRY,Dallas,2150.0,25168.46,8406.1,67037.0,66135.0
50225,PLEASANTVILLE,Marion,733.0,6911.46,2309.64,53370.0,33309.0
50226,POLK CITY,Polk,2144.0,28483.79,9557.35,56094.0,430640.0
50228,PRAIRIE CITY,Jasper,311.0,2590.61,868.36,46396.0,36842.0
50240,ST CHARLES,Madison,231.0,2397.16,806.94,53183.0,15679.0
50244,SLATER,Story,391.0,4132.2,1380.16,48248.0,89542.0
50247,STATE CENTER,Iowa,301.0,3368.04,1125.08,,
50247,STATE CENTER,Marshall,85.0,907.92,302.79,45232.0,40648.0
50248,CLEAR LAKE,Cerro Gordo,428.0,5266.66,1759.44,44741.0,44151.0
50248,STORY CITY,Story,1643.0,16709.78,5591.61,48248.0,89542.0
50249,STRATFORD,Hamilton,288.0,4199.7,1402.78,46188.0,15673.0
50250,STUART,Adair,1654.0,18606.68,6217.93,45202.0,7682.0
50251,SULLY,Jasper,162.0,2091.12,697.2,46396.0,36842.0
50261,VAN METER,Dallas,240.0,1653.6,551.7,67037.0,66135.0
50263,WAUKEE,Dallas,10808.0,155693.4,52075.61,67037.0,66135.0
50265,WEST DES MOINES,Polk,29837.0,417801.8,139732.52,56094.0,430640.0
50266,URBANDALE,Polk,263.0,2968.25,995.92,56094.0,430640.0
50266,WEST DES MOINES,Dallas,10472.0,247417.42,83004.48,67037.0,66135.0
50266,WEST DES MOINES,Polk,19513.0,295088.54,98646.89,56094.0,430640.0
50273,WINTERSET,Madison,6010.0,75348.27,25358.9,53183.0,15679.0
50276,WOODWARD,Dallas,258.0,2560.53,859.68,67037.0,66135.0
50300,DES MOINES,Polk,1254.0,15324.35,5120.43,56094.0,430640.0
50309,DES MOINES,Polk,5078.0,31790.09,10616.97,56094.0,430640.0
50310,DES MOINES,Polk,20121.0,191106.04,63866.35,56094.0,430640.0
50311,DES MOINES,Polk,10767.0,109598.47,36627.17,56094.0,430640.0
50311,WINDSOR HEIGHTS,Polk,29708.0,480460.07,160504.35,56094.0,430640.0
50312,DES MOINES,Polk,8862.0,133462.12,44551.78,56094.0,430640.0
50313,DES MOINES,Polk,6207.0,56909.67,19010.07,56094.0,430640.0
50313,Des Moines,Polk,192.0,1853.06,618.04,56094.0,430640.0
50314,DES MOINES,Polk,72142.0,1065906.06,355628.2,56094.0,430640.0
50315,DES MOINES,Polk,27036.0,282989.55,94563.42,56094.0,430640.0
50316,DES MOINES,Polk,14613.0,129466.45,43220.15,56094.0,430640.0
50317,DES MOINES,Polk,29505.0,289865.14,96834.66,56094.0,430640.0
50317,PLEASANT HILL,Polk,5308.0,71645.44,23949.81,56094.0,430640.0
50320,DES MOINES,Polk,69398.0,1068200.95,356316.11,56094.0,430640.0
50321,DES MOINES,Polk,13641.0,189801.87,63763.76,56094.0,430640.0
50322,CLIVE,Polk,169.0,1529.4,510.44,56094.0,430640.0
50322,DES MOINES,Polk,1225.0,19088.23,6378.32,56094.0,430640.0
50322,URBANDALE,Polk,19684.0,271149.47,90554.49,56094.0,430640.0
50322,WINDSOR HEIGHTS,Polk,1993.0,28529.49,9522.99,56094.0,430640.0
50323,URBANDALE,Polk,741.0,8661.64,2895.5,56094.0,430640.0
50323,Urbandale,Polk,258.0,3187.54,1064.45,56094.0,430640.0
50324,WINDSOR HEIGHTS,Polk,1384.0,8161.2,2722.96,56094.0,430640.0
50325,CLIVE,Dallas,1239.0,18253.13,6105.85,67037.0,66135.0
50325,CLIVE,Polk,5262.0,58591.67,19573.13,56094.0,430640.0
50327,PLEASANT HILL,Polk,1490.0,20142.38,6809.04,56094.0,430640.0
50401,MASON CITY,Cerro Gordo,32406.0,396493.94,132844.28,44741.0,44151.0
50421,BELMOND,Wright,1460.0,18005.61,6021.84,44035.0,13229.0
50423,BRITT,Hancock,988.0,11825.21,3974.51,47318.0,11341.0
50424,BUFFALO CENTER,Winnebago,596.0,7338.96,2455.56,41871.0,10866.0
50428,CLEAR LAKE,Cerro Gordo,11284.0,160419.3,53599.38,44741.0,44151.0
50430,CORWITH,Hancock,163.0,2690.94,904.9,47318.0,11341.0
50435,FLOYD,Floyd,1016.0,15528.97,5197.19,39467.0,16303.0
50436,FOREST CITY,Winnebago,4404.0,56402.31,18848.15,41871.0,10866.0
50438,GARNER,Hancock,1495.0,15712.9,5288.86,47318.0,11341.0
50441,HAMPTON,Franklin,3833.0,48930.98,16407.1,44863.0,10680.0
50450,LAKE MILLS,Winnebago,1174.0,13190.53,4411.24,41871.0,10866.0
50452,LATIMER,Franklin,72.0,1033.02,345.54,44863.0,10680.0
50456,MANLY,Worth,278.0,2205.14,735.24,49673.0,7598.0
50458,NORA SPRINGS,Floyd,395.0,4288.75,1436.76,39467.0,16303.0
50459,NORTHWOOD,Worth,874.0,11226.05,3751.59,49673.0,7598.0
50459,Northwood,Worth,932.0,12309.75,4121.78,49673.0,7598.0
50461,OSAGE,Mitchell,2144.0,25308.91,8479.36,48506.0,10776.0
50466,RICEVILLE,Mitchell,183.0,2334.69,778.56,48506.0,10776.0
50469,ROCKWELL,Cerro Gordo,573.0,7721.08,2587.53,44741.0,44151.0
50472,ST ANSGAR,Mitchell,973.0,13262.11,4427.85,48506.0,10776.0
50475,SHEFFIELD,Franklin,312.0,2808.42,938.58,44863.0,10680.0
50483,WESLEY,Kossuth,1495.0,23243.51,7788.54,48277.0,15543.0
50501,FORT DODGE,Hardin,3564.0,51327.84,17193.48,44694.0,17534.0
50501,FORT DODGE,Webster,25237.0,327053.65,109818.69,40806.0,38013.0
50511,ALGONA,Kossuth,8315.0,114572.53,38553.11,48277.0,15543.0
50514,ARMSTRONG,Emmet,234.0,2116.44,705.9,42286.0,10302.0
50517,BANCROFT,Kossuth,2215.0,32827.2,10961.84,48277.0,15543.0
50525,CLARION,Wright,1109.0,12763.91,4270.81,44035.0,13229.0
50529,DAKOTA CITY,Humboldt,348.0,1972.92,658.62,45282.0,9815.0
50530,DAYTON,Webster,371.0,5514.88,1845.1,40806.0,38013.0
50533,EAGLE GROVE,Wright,2406.0,33728.14,11436.88,44035.0,13229.0
50535,EARLY,Sac,246.0,2447.58,821.1,42986.0,10350.0
50536,EMMETSBURG,Palo Alto,3465.0,47721.45,15945.69,42800.0,9421.0
50540,FONDA,Pocahontas,168.0,2077.8,692.82,42105.0,7310.0
50541,GILMORE CITY,Humboldt,198.0,1474.8,492.0,45282.0,9815.0
50542,GOLDFIELD,Wright,96.0,1026.24,347.88,44035.0,13229.0
50543,GOWRIE,Webster,764.0,10319.66,3449.6,40806.0,38013.0
50548,HUMBOLDT,Humboldt,3450.0,46305.98,15516.54,45282.0,9815.0
50554,LAURENS,Pocahontas,1025.0,10999.34,3688.62,42105.0,7310.0
50563,MANSON,Calhoun,964.0,13215.61,4418.52,41611.0,9670.0
50569,OTHO,Webster,246.0,1860.06,621.36,40806.0,38013.0
50574,POCAHONTAS,Pocahontas,1670.0,21527.77,7295.01,42105.0,7310.0
50579,ROCKWELL CITY,Calhoun,573.0,5340.18,1783.06,41611.0,9670.0
50581,ROLFE,Pocahontas,112.0,1566.34,522.3,42105.0,7310.0
50583,SAC CITY,Sac,2346.0,30392.64,10194.65,42986.0,10350.0
